,y_value,label,calib_host,CID,IDSURVEY
3479,-28.6445,SN2017hn_150,,SN2017hn,150
3480,-28.617,SN2017ms_150,,SN2017ms,150
3481,-28.548,ASASSN-16hh_18,,ASASSN-16hh,18
3482,-28.6205,1992bl_50,,1992bl,50
3483,-28.6825,1993B_50,,1993B,50
3484,-28.4055,1992bs_50,,1992bs,50
3485,-28.6995,2000bh_50,,2000bh,50
3486,-28.5255,1992bg_50,,1992bg,50
3487,-28.3935,1992bh_50,,1992bh,50
3488,-28.661,2000ca_50,,2000ca,50
3489,-28.7765,2002bf_50,,2002bf,50
3490,-28.6375,1990O_50,,1990O,50
3491,-28.5435,1992P_50,,1992P,50
