RA,DEC,X,Y,SNR,stype,inst_vega_mag1,mag1_err,snr_mag1,sharp_mag1,crowd_mag1,flag_mag1,inst_vega_mag2,mag2_err,snr_mag2,sharp_mag2,crowd_mag2,flag_mag2
169.97661085144134,12.999875020008819,1282.690022436017,917.319602411233,27.0,1,26.067,0.059,18.4,-0.208,0.636,0,25.562,0.055,19.7,-0.207,0.617,0
170.0168421591788,13.00788202112768,3866.5877736687403,2011.9033408416733,27.2,1,26.31,0.068,16.0,-0.134,0.201,0,25.389,0.05,21.8,-0.103,0.363,0
170.01211278109776,13.009337367542903,3670.0521783796626,1739.3023547438377,22.2,1,27.515,0.199,5.5,0.107,0.007,0,25.427,0.051,21.4,0.02,0.003,0
169.97348822602208,12.99606353910168,932.9374734926639,1024.2445023422708,17.4,1,27.666,0.218,5.0,-0.269,1.331,0,25.476,0.072,15.1,0.028,1.902,0
169.9996183809589,13.022008628626349,3530.426016432035,505.47427150855907,25.2,1,26.805,0.096,11.3,-0.213,0.531,0,25.43,0.049,22.2,-0.14,0.391,0
170.00244637625755,13.013057283656162,3300.359256481092,1140.843755943682,24.2,1,27.462,0.159,6.8,-0.092,0.003,0,25.412,0.047,23.0,0.053,0.004,0
170.0029522784887,13.027348644904261,3939.7475659835845,324.0639412095754,25.6,1,26.652,0.084,12.9,-0.042,0.247,0,25.495,0.049,22.0,-0.085,0.158,0
169.98572258457156,12.990504247101336,1370.1660428454002,1839.3084825306476,24.9,1,26.114,0.061,17.8,-0.091,0.353,0,25.671,0.063,17.2,-0.022,0.601,0
170.01435387080883,13.01625784280603,4089.506380873321,1416.4612699788172,18.7,1,26.912,0.128,8.5,0.032,1.053,2,25.542,0.068,15.9,-0.054,0.775,2
169.98892025853758,13.009736948308614,2409.623702301596,810.4404062104882,24.6,1,27.222,0.136,8.0,-0.051,0.035,0,25.437,0.047,23.2,-0.017,0.024,0
