X,Y,RA,DEC,SNR,stype,inst_vega_mag1,mag1_err,snr_mag1,sharp_mag1,crowd_mag1,flag_mag1,inst_vega_mag2,mag2_err,snr_mag2,sharp_mag2,crowd_mag2,flag_mag2
572.83,2150.3,53.485284153487555,-36.186892299807226,68.9,1,29.435,0.268,4.1,-0.21,0.078,0,27.563,0.085,12.7,-0.03,0.025,0
2002.32,94.41,53.496593568137286,-36.22045171156532,83.4,1,29.049,0.179,6.1,-0.204,0.119,0,27.35,0.069,15.6,0.351,0.104,0
254.02,2138.23,53.48896812454876,-36.18360694402682,62.3,1,29.332,0.249,4.4,-0.688,0.032,0,28.082,0.136,8.0,0.43,0.126,0
1444.43,2168.61,53.475404598039404,-36.19600470521026,78.6,1,28.774,0.146,7.4,0.17,0.026,0,27.4,0.075,14.5,0.027,0.065,0
3316.18,2264.56,53.45343379171929,-36.21506519328357,74.7,1,29.449,0.268,4.0,-0.198,0.0279999999999999,0,27.408,0.076,14.4,0.264,0.026,0
3465.73,4231.16,53.42584997426697,-36.19909687762047,68.9,1,28.292,0.1,10.8,-0.075,0.004,0,28.396,0.1689999999999999,6.4,0.115,0.0409999999999999,0
394.7,2749.48,53.47935315631355,-36.17964942652029,225.8,1,25.222,0.008,135.3,-0.1159999999999999,0.296,0,24.18,0.006,180.5,-0.129,0.377,0
1442.84,2184.0,53.475219236698315,-36.195850431244914,75.4,1,28.345,0.103,10.5,-0.542,0.055,0,27.597,0.088,12.4,0.4479999999999999,0.077,0
369.06,3939.61,53.46394743890002,-36.16875436883744,239.9,1,25.407,0.009,125.6,-0.033,0.005,0,24.134,0.005,204.1,-0.0289999999999999,0.005,0
455.82,3431.95,53.46967998951345,-36.174208847074546,92.5,1,28.031,0.0559999999999999,19.3,0.397,0.008,0,28.49,0.135,8.0,-0.451,0.039,0
684.34,2150.42,53.48404962728335,-36.18807799361099,73.2,1,28.207,0.089,12.2,0.573,0.017,0,27.851,0.108,10.1,-0.7509999999999999,0.053,0
3601.5,2205.04,53.45106155839047,-36.21863226802659,39.7,1,29.135,0.1989999999999999,5.5,-0.296,0.04,0,28.218000000000004,0.141,7.7,0.168,0.034,0
1496.38,4168.47,53.448464127815946,-36.178706095554666,66.6,1,29.181,0.212,5.1,-0.146,0.312,0,28.01,0.121,8.9,-0.04,0.057,0
1607.08,4163.21,53.44730904601576,-36.179930825583654,61.5,1,29.134,0.1939999999999999,5.6,-0.5429999999999999,0.023,0,28.181,0.144,7.5,0.812,0.023,0
556.46,69.96,53.51290395604087,-36.20527935577177,68.8,1,28.607,0.127,8.6,0.141,0.042,0,28.278,0.15,7.2,-0.172,0.22,0
1794.38,2893.23,53.46197940917066,-36.19326094271463,192.6,1,25.598000000000003,0.012,92.7,-0.052,0.296,0,24.261,0.0069999999999999,164.0,-0.081,0.369,0
316.71,33.23,53.516038983876605,-36.20305476932244,70.7,1,27.872,0.068,16.0,0.079,0.023,0,28.52,0.19,5.7,0.128,0.066,0
2222.71,2879.45,53.45742319444564,-36.197941544416466,222.1,1,24.872,0.006,175.2,-0.032,0.006,0,24.803,0.008,133.7,-0.0139999999999999,0.006,0
1370.33,4133.74,53.45031604914437,-36.17767505428383,42.0,1,28.466,0.115,9.5,-0.074,0.048,0,27.745,0.0969999999999999,11.2,-0.106,0.129,0
4016.09,4276.22,53.41916501868503,-36.20454861681161,66.3,1,28.046,0.081,13.4,0.138,0.192,0,28.12,0.138,7.9,0.043,0.298,0
