,X,Y,SNR,stype,inst_vega_mag1,mag1_err,snr_mag1,sharp_mag1,crowd_mag1,flag_mag1,inst_vega_mag2,mag2_err,snr_mag2,sharp_mag2,crowd_mag2,flag_mag2,RA,DEC
1100,3829.150216264804,1013.6656839634796,41.2,1,27.451,0.05,21.6,-0.216,0.264,0,26.054,0.032,33.6,0.11,0.405,0,54.704063105982755,-35.59739601753818
1101,2798.403608494351,980.9975631673896,38.6,1,27.757,0.067,16.3,-0.119,0.198,0,26.106,0.034,32.3,-0.039,0.205,0,54.71001977349648,-35.583916855580064
1102,3172.1303194302545,59.39365663802302,20.4,1,27.321,0.073,14.8,0.043,0.248,0,26.373,0.099,10.9,-0.133,0.35,0,54.72302731098844,-35.59279889086801
1103,2981.175473744665,29.952231094751117,24.2,1,27.378,0.061,17.9,-0.088,0.353,0,25.944000000000003,0.08,13.6,0.067,0.315,0,54.7245103816772,-35.59040167563958
1104,3795.563560107101,837.0660115272557,30.9,1,27.851,0.095,11.5,0.0289999999999999,0.342,0,26.141,0.042,25.9,-0.289,0.284,0,54.70710954502685,-35.597708248952685
1105,3003.611617912487,413.0711177842325,19.3,1,27.765,0.124,8.8,-0.076,0.2769999999999999,0,26.385,0.083,13.1,0.307,0.382,0,54.71816721776204,-35.5890588576521
1106,3103.7766247201907,829.9505112827684,25.8,1,27.827,0.104,10.4,0.166,0.211,0,26.091,0.05,21.9,0.104,0.223,0,54.7108666379039,-35.58859823579309
1107,2919.5999103991403,536.6800299087748,25.3,1,27.394,0.073,14.9,-0.0819999999999999,0.212,0,26.235,0.061,17.9,-0.125,0.442,0,54.7166009028441,-35.587419834677505
1108,2984.5416772015733,173.1417749172401,22.7,1,28.458,0.1889999999999999,5.7,0.287,0.4579999999999999,0,26.194000000000003,0.0559999999999999,19.5,-0.216,0.3289999999999999,0,54.72216602683163,-35.58983351904914
1109,3208.4746901065705,1319.6296953856147,41.4,1,28.191,0.086,12.6,0.193,0.407,0,26.047,0.0289999999999999,37.8,0.045,0.336,0,54.70235948538892,-35.587885394389666
1110,3883.538161615937,328.75842885165133,19.1,1,27.468000000000004,0.161,6.7,0.0139999999999999,0.226,0,26.374,0.066,16.4,-0.086,0.307,0,54.71490641090198,-35.601046283341304
1111,3135.3981762502167,889.3405634401635,25.5,1,27.958,0.108,10.1,0.168,0.316,0,26.208,0.053,20.5,-0.038,0.471,0,54.70973524963584,-35.58876184413399
1112,3899.8342592823474,252.7888152716827,21.4,1,27.42,0.157,6.9,0.263,0.271,0,26.256,0.0579999999999999,18.7,-0.2739999999999999,0.461,0,54.716055187511216,-35.60158672130486
1113,3463.0423845505943,782.3735406951047,22.7,1,27.194000000000003,0.068,16.0,-0.123,0.174,0,26.416,0.079,13.8,0.221,0.363,0,54.709748677284544,-35.593548818791284
1114,2940.2791120197658,761.0894379838868,29.6,1,27.147,0.051,21.2,-0.0139999999999999,0.241,0,26.378,0.059,18.4,0.005,0.531,0,54.71284595786215,-35.58673267664612
1115,3587.554037433872,1595.211792823,49.7,1,27.911,0.0559999999999999,19.5,-0.152,0.3989999999999999,0,26.062,0.025,44.0,-0.026,0.311,0,54.69588604996231,-35.59171397459621
1116,3756.4993659311863,32.07841525347951,18.4,1,27.253,0.063,17.3,-0.027,0.242,0,25.804,0.1159999999999999,9.4,0.048,0.28,0,54.720396229940256,-35.600637262473676
1117,2953.138133209551,975.4188176166854,34.2,1,27.804,0.076,14.3,-0.1,0.296,0,26.115,0.038,28.8,-0.012,0.347,0,54.70929600907916,-35.585985221755735
1118,1986.7226909360256,111.7840138501024,63.0,1,27.013,0.023,47.1,-0.022,0.098,0,26.348000000000003,0.027,40.0,-0.157,0.1669999999999999,0,54.72841199735052,-35.576911291523565
1119,2872.5801564445524,506.2397571256158,26.4,1,27.001,0.047,23.1,-0.0069999999999999,0.092,0,27.123,0.122,8.9,0.1159999999999999,0.424,0,54.717342914718714,-35.586928818410776
1120,2430.778508205563,810.4552028399752,46.4,1,27.503,0.044,24.7,0.008,0.213,0,26.081,0.0289999999999999,37.3,0.018,0.462,0,54.71472513237708,-35.57978934503734
1121,3122.7823903744074,748.5309377265496,22.4,1,27.75,0.113,9.6,0.1119999999999999,0.281,0,26.148000000000003,0.06,18.0,0.1119999999999999,0.3339999999999999,0,54.712089497951446,-35.58919784091299
1122,2785.586820600085,1043.9872483198517,40.7,1,27.671,0.059,18.5,-0.086,0.246,0,26.074,0.031,34.8,-0.146,0.29,0,54.70906385797401,-35.58347789131609
1123,3439.226022521912,1299.9216045315898,39.5,1,28.404,0.115,9.5,-0.08,0.3939999999999999,0,26.101,0.0289999999999999,36.9,-0.042,0.259,0,54.701464832917594,-35.591018581804015
1124,2741.7498564154603,625.8883087418452,30.6,1,28.587,0.158,6.9,0.27,0.434,0,26.098000000000003,0.038,28.5,-0.093,0.261,0,54.716087371556824,-35.58468811226768
1125,3859.145637284888,706.1869607885943,29.4,1,27.518,0.068,15.9,-0.098,0.296,0,26.253,0.051,21.4,-0.035,0.314,0,54.708901552872504,-35.59910858068498
1126,2590.0494860401272,47.95904701991674,33.2,1,28.398000000000003,0.103,10.6,0.0969999999999999,0.452,0,25.939,0.036,30.5,-0.0559999999999999,0.17,0,54.72627544024836,-35.58515647436282
1127,2577.357080727015,437.04763305202704,39.2,1,27.637,0.06,18.0,-0.061,0.249,0,26.117,0.033,32.9,-0.126,0.296,0,54.720020497638785,-35.58332403985944
1128,2196.454614284423,316.0349996070892,53.3,1,27.593000000000004,0.042,25.6,-0.021,0.19,0,26.075,0.024,45.1,0.02,0.207,0,54.72399046548504,-35.578808794272746
1129,2624.3600359890065,540.0376609502226,38.3,1,27.505,0.054,20.3,-0.151,0.23,0,26.131,0.036,30.3,0.015,0.255,0,54.71809989761597,-35.583504401445
1130,3855.9597133380216,796.1366318970238,31.1,1,27.926,0.095,11.5,-0.119,0.354,0,26.132,0.0409999999999999,26.3,-0.077,0.365,0,54.707456671881005,-35.598681453498514
1131,3052.5534964725216,493.1412384872964,17.7,1,27.722,0.131,8.3,0.318,0.1669999999999999,0,26.355,0.088,12.3,-0.065,0.215,0,54.716608679167734,-35.58936289317069
1132,2763.740310784143,879.697628105626,38.2,1,27.487,0.054,20.2,0.034,0.1639999999999999,0,26.09,0.035,30.9,-0.042,0.223,0,54.7118480022361,-35.583892432012625
1133,3059.810057604346,1100.749246633452,35.6,1,28.27,0.107,10.2,-0.044,0.376,0,26.048,0.033,32.8,-0.123,0.209,0,54.70669827134421,-35.58685817261799
1134,3276.716526429704,1186.860688233233,38.7,1,27.95,0.076,14.3,0.128,0.455,0,26.054,0.031,34.7,-0.095,0.341,0,54.7041573666597,-35.58935545539695
1135,1950.4288074604865,222.6233501031641,59.2,1,27.741,0.042,25.6,-0.001,0.1119999999999999,0,26.049,0.021,52.2,0.001,0.129,0,54.72680217935404,-35.575957554559636
1136,2718.362812938096,674.987956344618,33.9,1,27.799,0.076,14.3,0.004,0.134,0,26.137,0.038,28.5,-0.086,0.144,0,54.71541270936691,-35.584168973435936
1137,2637.1700311484924,96.40925985036124,41.1,1,27.504,0.049,22.3,-0.033,0.21,0,26.153,0.034,32.2,-0.19,0.281,0,54.72524034574584,-35.58557182665706
